Dish_Name,Diet_Type,Ingredients_Text
एल्लु सादम रेसिपी - ellu sadam (recipe in hindi),Vegetarian,"1-1/2 कप चावल - पके हुए,नमक - स्वाद अनुसार,3 छोटा चमच्च तेल - प्रयोग अनुसार,1/4 कप तिल (सफ़ेद),1/4 कप नारियल - कस ले,5 सुखी लाल मिर्च,1 कप सफेद उरद दाल (split),1/2 बड़े चमच्च राइ,4 बड़े चमच्च काजू,1 टहनी कढ़ी पत्ता,3/4 बड़े चमच्च हींग"
berry focaccia with mascarpone cheese recipe(italian bread topped with mixed berries and served with sweetened mascarpone cheese),Vegetarian,"2 cups Whole Wheat Flour,2 cups All Purpose Flour (Maida),2-1/2 teaspoon Active dry yeast,2 tablespoon Extra Virgin Olive Oil,1/2 teaspoon Salt,2 teaspoons Honey,6 Sage - chopped (you can alternatively use 1 tablespoon chopped fresh rosemary),2 cups Water - lukewarm,1-1/2 cup Mixed berries - (like Strawberries,2 tablespoon Granulated sugar,3 tablespoon Extra Virgin Olive Oil,1 cup Mascarpone Cheese,2 tablespoon Honey,1 teaspoon Orange Zest (Rind) - or lime zest"
eggless fresh cherry cake recipe,Vegetarian,"2 cup Vivatta Maida,3/4 cup Caster Sugar - (or powdered sugar),1/2 cup Milk - at room temperature,1/4 cup Butter - melted or vegetable oil as needed,1 teaspoon Baking powder,1 pinch Baking soda,1 pinch Salt,1 teaspoon Vanilla Extract,1 cup Fresh Cherries - pitted and chopped,2 tablespoons Flax seed powder (flax meal)"
हरे मूंग की सब्ज़ी - green moong dal sabzi (recipe in hindi),High Protein Vegetarian,"1/2 कप हरी मूंग दाल - या हरे मूंग,1 छोटा चमच्च जीरा,3-4 कढ़ी पत्ता - finely chopped,1/2 छोटा चमच्च अदरक,1 छोटा चमच्च हरी मिर्च,1/2 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च निम्बू का रस,2 बड़े चमच्च हरा धनिया - काट ले,1 छोटा चमच्च तेल,नमक - स्वाद अनुसार"
गुट्टी वांकाया रेसिपी - gutti vankaya recipe,Vegetarian,"8-10 बैंगन,1 इमली का पेस्ट - निम्बू जितनी,1 कप प्याज - पतला काट ले + 1/2 कप बारीक कटा हुआ,4-5 लाल मिर्च,4 बड़े चम्मच मूंगफली,2 बड़े चम्मच तिल (सफ़ेद),3 बड़े चम्मच नारियल,1-1/2 बड़े चम्मच धनिया के बीज,1 छोटा चम्मच जीरा,2 इलाइची,6 लहसुन,1 बड़ा चम्मच चना दाल,तेल - प्रयोग अनुसार,2 तेज पत्ता,1 छोटा चम्मच जीरा,1 टहनी कढ़ी पत्ता"
मेथी तुरई की सब्ज़ी रेसिपी - methi turai ki sabzi (recipe in hindi),Vegetarian,"500 ग्राम तुरई - 1 इंच के क्यूब में काट ले,2 कप मेथी - काट ले,1 प्याज - पतला काट ले,1 छोटा चमच्च जीरा,2 सुखी लाल मिर्च - आधा कर दे,4 लॉन्ग लहसुन - कस ले,2 हरी मिर्च - कस ले,1 छोटा चमच्च धनिया पाउडर,1/2 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च निम्बू का रस,1/2 छोटा चमच्च गरम मसाला पाउडर,2 बड़े चमच्च तेल"
apple danish pastry recipe,Eggetarian,"1 Puff Pastry Sheet,1 Apple - sliced to thin wedges,1 teaspoon Cinnamon Powder (Dalchini),1/2 cup Caster Sugar - + a teaspoon,1 tablespoon Butter (unsalted),2 teaspoons Sugar,2 tablespoons Milk - cold,1 Whole Egg - whisked"
ajwain puri recipe - puri flavoured with carom seeds,Vegetarian,"250 grams Whole Wheat Flour,1 teaspoon Ajwain (Carom seeds),1 teaspoon Turmeric powder (Haldi),Salt - to taste,Sunflower Oil"
paneer chilli dosa recipe - spicy cottage cheese dosa,High Protein Vegetarian,"1 cup Idli Dosa Batter,1/2 cup Paneer (Homemade Cottage Cheese) - cut into small cubes,1/2 cup Green Bell Pepper (Capsicum),1/2 cup Spring Onion Greens,1/2 cup Onion - finely chopped,1/2 cup Tomatoes - finely chopped,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - grated,1/3 cup Tomato Ketchup,1/3 cup Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),1 teaspoon Soy sauce,Sunflower Oil - or butter a few drops for cooking dosa"
kashmiri anardan chetin recipe (pomegranate seeds chutney),Vegetarian,"4 teaspoon Anardana Powder (Pomegranate Seed Powder),1 Onion - chopped,1/2 cup Coriander (Dhania) Leaves,1/2 cup Mint Leaves (Pudina),2-3 Green Chillies,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Chaat Masala Powder,1/2 teaspoon Salt,1 pinch Sugar,1 teaspoon Lemon juice,Water - as required"
karnataka style sabbasige rasam recipe - dill leave & toor dal rasam,Vegetarian,"1 cup Arhar dal (Split Toor Dal),1 cup Dill leaves,2 tablespoon Fresh coconut - grated,1 tablespoon Poppy seeds,1 Onion - chopped,1 Tomato - chopped,1 Cinnamon Stick (Dalchini),1 sprig Coriander (Dhania) Leaves,3 tablespoon Sambar Powder,1 teaspoon Mustard seeds,1 sprig Curry leaves,1 tablespoon Jaggery,Sunflower Oil,Salt - to taste"
mexican style capirotada recipe-bread pudding recipe,Vegetarian,"8 Whole Wheat Brown Bread - torn into small pieces,10 Cashew nuts,15 Raisins,50 grams Jaggery - powdered,1 teaspoon Cinnamon Powder (Dalchini),2 Ripe Bananas - sliced,2 tablespoons Fresh cream"
sweet corn & avarakkai sundal recipe,Vegetarian,"1 cup Sweet corn,1 cup Avarekalu / Lilva Beans,1/2 cup Fresh coconut - grated,1 tablespoon Cumin powder (Jeera),1 teaspoon Mustard seeds,1/2 teaspoon Asafoetida (hing),2 Green Chillies - finely chopped,2 Dry Red Chilli,4 or 5 Curry leaves - roughly torn,Salt - for taste,Sunflower Oil"
काली मिर्च वाली गोभी रेसिपी - pepper cauliflower (recipe in hindi),Vegetarian,"1 गोबी - छोटा काट ले,1 प्याज - सीधे काट ले,5 कली लहसुन - बारीक काट ले,1 छोटा चमच्च काली मिर्च पाउडर,1 छोटा चमच्च जीरा पाउडर,1/2 छोटा चमच्च लाल मिर्च पाउडर,हरा धनिया - गार्निश के लिए,नमक - स्वाद अनुसार,1 छोटा चमच्च राइ,1 टहनी कढ़ी पत्ता,1 छोटा चमच्च काली उरद दाल (स्प्लिट),1 सुखी लाल मिर्च - आधा कर ले,2 बड़ा चमच्च तेल"
fresh apple bundt cake recipe,Eggetarian,"2 Cups All Purpose Flour (Maida),3/4 teaspoon Baking soda,3/4 teaspoon Salt,3/4 teaspoon Cinnamon Powder (Dalchini),1/2 cup Sugar - (divided),1 Cup Sunflower Oil,2 Whole Eggs,1-1/2 teaspoon Vanilla Extract,2 cups Apple"
vagharela chawal recipe - parsi style brown rice,Vegetarian,"1-1/2 cups Rice - washed,2 Onion - thinly sliced,2 Cardamom (Elaichi) Pods/Seeds,2 cloves Cloves (Laung),inch Cinnamon Stick (Dalchini),Salt - to taste,1 tablespoon Ghee"
french madeleine recipe,Eggetarian,"3 Whole Eggs,2/3 cup Sugar,1 cup All Purpose Flour (Maida),1 teaspoon Baking powder,1 tablespoon Lemon zest,1 teaspoon Vanilla Extract,6 tablespoon Butter - melted,Icing Sugar - (to sprinkle),1/4 cup Chocolate ganache - Or melted chocolate"
traditional maharashtrian bhakarwadi recipe,Vegetarian,"1/2 cup All Purpose Flour (Maida),1/2 cup Gram flour (besan),1 pinch Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1/4 teaspoon Baking soda,1 pinch Asafoetida (hing),Salt - to taste,1/2 cup Dessicated Coconut,1 tablespoon Sugar,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Fennel seeds (Saunf),1/4 teaspoon Cumin powder (Jeera),2 tablespoon Sesame seeds (Til seeds),1/2 teaspoon Garam masala powder,1 tablespoon Poppy seeds,Salt - to taste,Sunflower Oil - for deep-frying,2 tablespoons Tamarind Paste - or Tomato ketchup"
ribbon pakoda recipe - south indian tea time snack,Vegetarian,"2 cups Gram flour (besan),1 cup Rice flour,1/4 cup Urad Dal Flour,1/2 teaspoon Asafoetida (hing),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1 teaspoon Red Chilli powder,1/4 cup Butter,Water - as needed,Salt - to taste,Sunflower Oil - for deep frying"
chocolate kaju katli recipe - chocolate kaju barfi,Vegetarian,"2 1/4 cups Cashew nuts,1 cup Sugar,100 ml Water,1 cup Milk chocolate - or dark chocolate"
indo-chinese paneer manchurian recipe,Vegetarian,"300 grams Paneer (Homemade Cottage Cheese) - cut into cubes,3 tablespoons All Purpose Flour (Maida),1 tablespoon Corn flour,1 inch Ginger - grated,4 cloves Garlic - grated,1 tablespoon Soy sauce,1/4 cup Water,Salt - to taste,Black pepper powder - for seasoning,Sunflower Oil - for frying,1/2 cup Spring Onion (Bulb & Greens) - (white top part),1 teaspoon Garlic - finely chopped,1 teaspoon Ginger - finely chopped,2 Green Chillies - slit lengthwise,3 tablespoons Soy sauce,1 tablespoon Sriracha sauce,1 tablespoon Rice Vinegar,2 tablespoons Homemade tomato puree,1 tablespoon Corn flour"
grilled cheese sandwich recipe with paneer & potato,Vegetarian,"8 Whole Wheat Brown Bread,3 Potatoes (Aloo) - boiled and peeled,1/2 cup Paneer (Homemade Cottage Cheese) - crumbled,2 Green Chillies - finely chopped,1 Onion - finely chopped,Salt - to taste,1 tablespoon Butter - per sandwich"
bendekayi koddel/bolu huli recipe - mangalorean style bhindi sambar recipe,Vegetarian,"25 Bhindi (Lady Finger/Okra) - cut to about an inch,1 cup Arhar dal (Split Toor Dal) - cooked till soft,1/4 teaspoon Turmeric powder (Haldi),2 Green Chillies - slit (adjust),Tamarind - gooseberry sized,2 teaspoon Jaggery,2 teaspoons Rasam Powder,Salt - to taste,1-1/2 tablespoons Coconut Oil,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 pinch Asafoetida (hing),Curry leaves - a few"
homemade lemon sevai recipe - lemon idiyappam recipe,Vegetarian,"2 cups Idli Rice,Lemon juice - from 2 lemons,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1/4 cup Roasted Peanuts (Moongphali),2 Green Chillies - finely chopped,2 sprig Curry leaves,2 inch Ginger - finely chopped,2 tablespoons Sesame (Gingelly) Oil"
mavinakayi chutney recipe - south canara raw mango chutney,Vegetarian,"2 Mango (Raw) - chopped,5 Dry Red Chillies,1/2 teaspoon Mustard seeds,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1/4 teaspoon Cumin seeds (Jeera),1 pinch Asafoetida (hing),1 tablespoon Coconut Oil,Salt - to taste"
atta biscuit recipe (whole wheat flour cookies spiced with cardamom),Vegetarian,"1-1/2 cups Whole Wheat Flour,1/4 cup Wheat Bran,1/2 cup Caster Sugar,10 Cardamom (Elaichi) Pods/Seeds - peeled and powdered,100 grams Butter (unsalted) - chilled and cubed,1 pinch Salt,1/4 cup Milk,8 Cashew nuts - halved lengthwise"
chilli chicken cheese quesadilla recipe,Non Vegeterian,"4 Tortillas,1/2 cup Mozzarella cheese - grated,4 tablespoons Butter - softened,300 grams Chicken breasts - cut into strips,1/4 cup Green Bell Pepper (Capsicum) - sliced,1/3 cup Spring Onion (Bulb & Greens) - chopped,6 cloves Garlic - finely chopped,2 inch Ginger - finely chopped,2 Green Chillies - slit,1 tablespoon Corn flour,1/2 tablespoon Soy sauce,1 tablespoon Tomato Ketchup,1 tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),1 teaspoon Sunflower Oil,1 Salt - to taste"
mocha swiss roll recipe (cream roll),Eggetarian,"1/2 Cup All Purpose Flour (Maida),1/2 Cup Sugar,1 Tablespoon Hot water,1 teaspoon Vanilla Extract,3 Whole Eggs,Butter - for greasing,1 Cup Heavy whipping cream,4 Tablespoons Caster Sugar,2 Tablespoons Instant Coffee Powder"
आमरस रेसिपी - aamras recipe,Vegan,"3 कप आम - छिलका निकल के काट ले,1/4 कप पानी,शक्कर - वैकल्पिक"
basundi / rabri recipe,Vegetarian,"2 liter Milk,3/4 cup Sugar - (I like adding a little less sugar please adjust according to your taste),1 teaspoon Cardamom Powder (Elaichi),2 Saffron strands,1/4 cup Badam (Almond) - or pistachios"
ओरिया स्टाइल मूंग दालमा रेसिपी - oriya style moong dalma (recipe in hindi),Vegetarian,"1 कप हरी मूंग दाल - सेक ले,1/2 कप गाजर - छीलकर काट ले,1/2 कप हरा बीन्स - काट ले,1/2 कप गोभी - काट ले,1/2 कप हरे मटर,2 बड़े चमच्च नारियल - कस ले,1 छोटा चमच्च अदरक - कस ले,1 छोटा चमच्च हल्दी पाउडर,3 सुखी लाल मिर्च,1 तेज पत्ता,1 बड़ा चमच्च जीरा,1 बड़ा चमच्च घी,नमक - स्वाद अनुसार,3 कप पानी,1/4 छोटा चमच्च जीरा,1/4 छोटा चमच्च राइ,1/4 छोटा चमच्च सौंफ,1/4 छोटा चमच्च कलोंजी के बीज,1/4 छोटा चमच्च मेथी के दाने,1/4 छोटा चमच्च मेथी के दाने"
kala chana masala curry recipe,High Protein Vegetarian,"2 cups Kala Chana (Brown Chickpeas) - soaked overnight,Sunflower Oil - as required,1 Bay leaf (tej patta),1 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1/2 teaspoon Asafoetida (hing),2 Green Chillies - finely chopped,2 Tomato - chopped,1/2 tablespoon Whole Wheat Flour,Salt - as required,Water - as required,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),3/4 teaspoon Lemon juice,3 sprig Coriander (Dhania) Leaves - finely chopped"
chicken dum biryani recipe,High Protein Non Vegetarian,"1 kg Chicken - with bone,4 cups Basmati rice,3 Onions - sliced thin,4 Tomatoes - finely chopped,4 Green Chillies - slit at the center,20 gram Ginger - ground to paste,20 gram Garlic - ground to paste,2 tablespoon Red Chilli powder,2 tablespoon Coriander Powder (Dhania),1 tablespoon Garam masala powder,1/2 cup Coriander (Dhania) Leaves - finely chopped,1/2 cup Mint Leaves (Pudina) - finely chopped,Sunflower Oil - as needed,Ghee - as needed,Salt - to taste,1/2 cup Hung Curd (Greek Yogurt),1 tablespoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),Salt - as required"
mughlai style chicken haleem recipe,High Protein Non Vegetarian,"300 grams Boneless chicken,3 tablespoon Chana dal (Bengal Gram Dal),1 tablespoon Rice,3 tablespoon Broken Wheat (Dalia/ Godumai Rava),1 Bay leaf (tej patta),4 Onions - sliced,1 teaspoon Ginger Garlic Paste,3 Green Chillies,2-1/2 tablespoons Red Chilli powder,Salt - to taste,2 tablespoon Mint Leaves (Pudina) - chopped,2 tablespoon Coriander (Dhania) Leaves - chopped,1 tablespoon Sunflower Oil,3 tablespoon Ghee,1 teaspoon Cumin seeds (Jeera),1 teaspoon Ajwain (Carom seeds),1 tablespoon Whole Black Peppercorns,1 inch Cinnamon Stick (Dalchini),3 Cardamom (Elaichi) Pods/Seeds,2 Black cardamom (Badi Elaichi)"
kerala style pazham pori recipe (banana fry),Vegetarian,"4 Raw Banana,1/4 cup Rice flour,1/2 cup All Purpose Flour (Maida),1 cup Milk,1/4 cup Fresh coconut,1/4 teaspoon Salt"
chicken yakisoba recipe - japanese noodles,Non Vegeterian,"150 grams Chicken breasts - cut into small strips,Salt - to taste,1 tablespoon Corn flour,1 teaspoon Black pepper powder,1 teaspoon Sunflower Oil,200 grams Yakisoba noodles - optionally use Maggi Noodles,1 tablespoon Sunflower Oil,1 Onion - thinly sliced,1 Carrot (Gajjar) - cut into juliennes,1/4 cup Cabbage (Patta Gobi/ Muttaikose),1/4 cup Spring Onion Greens,1 cup Button mushrooms - cut into quarters,1 tablespoon Soy sauce,1 tablespoon Red Wine Vinaigrette,1 teaspoon Brown Sugar (Demerara Sugar),1 teaspoon Worcestershire sauce,1 Green Chilli - finely chopped"
no bake nutella cheesecake recipe,Vegetarian,"100 grams Oreo biscuits - crumbled,6 Tablespoon Butter (unsalted) - melted,3 tablespoon Nutella Spread,400 grams Britannia Cream Cheese,1-1/2 cup Nutella Spread,1/2 cup Caster Sugar,1 tablespoon Vanilla Extract,1/4 cup Heavy whipping cream,2 tablespoon Cocoa Powder,1-1/2 tablespoon Gelatin,Oreo biscuits - a few,Fresh Cherries - a few"
mutton do pyaza recipe,Non Vegeterian,"450 grams Mutton - cleaned and Cut into small pieces,1 Onion - thinly sliced,1 Tablespoon Ginger Garlic Paste,1/2 teaspoon Turmeric powder (Haldi),1/2 Cup Curd (Dahi / Yogurt),1 Tablespoon Red Chilli powder - differ amount as per taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1 Tablespoon Garam masala powder,2 Green Chillies - finely chopped,2 Tablespoons Extra Virgin Olive Oil,Coriander (Dhania) Leaves - Few Chopped,Salt - to taste,1/2 teaspoon Lemon juice,1 Tablespoon Extra Virgin Olive Oil,1 Onion - roughly chopped in chunks,6 Dry Red Chillies"
tamil nadu style broccoli poriyal recipe - broccoli stir fry recipe,Vegetarian,"2 cups Broccoli - (or one broccoli head) cut into small florets,1 Onion - chopped,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,2 sprig Curry leaves,Salt - to taste,2 teaspoons Sunflower Oil"
kashmiri style modur pulao recipe - kashmiri sweet pulao,Vegetarian,"1 cup Basmati rice,1 cup Sugar,6 tablespoons Ghee,3 Bay leaves (tej patta),6 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),6 Cardamom (Elaichi) Pods/Seeds,1/4 teaspoon Whole Black Peppercorns,1/4 teaspoon Saffron strands,1 teaspoon tablespoon Dates - chopped,1 teaspoon tablespoon Badam (Almond) - blanched,1 teaspoon teaspoon Cashew nuts - chopped,1 teaspoon teaspoon Raisins,Salt - as required,3 cups Water"
thotakura majjiga pulusu recipe - amaranth leaves in buttermilk stew,Vegetarian,"1 cup Green Amaranth Leaves - chopped,1 Onion - sliced,1/2 teaspoon Turmeric powder (Haldi),1 cup Curd (Dahi / Yogurt),Salt - to taste,Sunflower Oil,2 tablespoon Fresh coconut - grated,1 Green Chilli,2 sprig Coriander (Dhania) Leaves - chopped,1 teaspoon Mustard seeds,1 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Cumin seeds (Jeera),1 pinch Asafoetida (hing),1 sprig Curry leaves,2 Dry Red Chillies,Sunflower Oil"
nandan kozhi recipe  - kerala style chicken curry,High Protein Non Vegetarian,"500 grams Chicken - curry cut,3 Onions - sliced,4 Tomatoes - chopped,1 inch Ginger - minced,10 cloves Garlic - minced,1/2 teaspoon Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),2 teaspoon Chicken masala - (you can use other too but I prefer eastern masalas for kerala style preparations),1 cup Fresh coconut - grated,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),Curry leaves - Handful,2 tablespoons Coconut Oil"
टमाटर बेसिल चिकन करी रेसिपी - tomato basil chicken curry recipe,Non Vegeterian,"1 चिकन ब्रैस्ट - काट ले,2 गाजर - सीधा काट ले,1 प्याज - काट ले,4 कली लहसुन - काट ले,1 कप टमाटर प्यूरी,6 बेसिल,1 बड़ा चम्मच रोसमेरी,1 बड़ा चम्मच थाइम के पत्ते,2 बड़ा चम्मच पैपरिका पाउडर,1 छोटा चम्मच जीरा पाउडर,1 छोटा चम्मच शक्कर,नमक - स्वाद अनुसार,ओलिव का तेल - प्रयोग अनुसार"
penne with roasted eggplant and mint pesto recipe,Vegetarian,"3/4 cup Mint Leaves (Pudina),1/2 cup Basil leaves,1/4 cup Pine nuts,2 tablespoons Parmesan cheese,1/2 cup Extra Virgin Olive Oil,Salt and Pepper - to taste,1 tablespoon Extra Virgin Olive Oil,1 cup Brinjal (Baingan / Eggplant) - chopped,2 cups Penne pasta,1/2 cup Mint Pesto,Salt - to taste"
mango panna cotta with fruit cream recipe,Vegetarian,"1 cup Mango Pulp (Puree),1/2 cup Double Cream,1/2 cup Milk - whole milk,2 teaspoons Agar agar - strands,3 tablespoons Sugar,70 ml Heavy whipping cream,Mixed fruits - your choice"
kerala chicken curry recipe,Non Vegeterian,"400 grams Chicken - cut into medium sized pieces,1/2 cup Curd (Dahi / Yogurt),1 teaspoon Turmeric powder (Haldi),1 teaspoon Sunflower Oil,1 teaspoon Mustard seeds,10 Curry leaves,1 Onion - roughly chopped,1 inch Ginger - grated,6 to 7 cloves Garlic - finely chopped,Salt - as per taste,40 grams Instant Oats (Oatmeal) - Masala one,1 tablespoon Whole Black Peppercorns,1 teaspoon Coriander (Dhania) Seeds,1 inch Cinnamon Stick (Dalchini),1 teaspoon Fennel seeds (Saunf),2 Dry Red Chillies"
baba ganoush recipe (roasted eggplant middle eastern dip),Vegetarian,"1 Brinjal (Baingan / Eggplant),3 cloves Garlic - finely chopped,1 Lemon juice,2 tablespoons Tahini,3 sprig Parsley leaves - finely chopped,Salt and Pepper - to taste,Extra Virgin Olive Oil,Red Chilli powder - to taste,Pita chips - for dipping"
karnataka style jackfruit moong dal payasa recipe,Vegetarian,"1 cup Jackfruit Ripe (Kathal) - chopped,1/4 cup Yellow Moong Dal (Split),3/4 cup Jaggery - pounded,2 teaspoon Rice - soaked for 20 minutes,2 tablespoon Fresh coconut - grated,1 teaspoon Cardamom Powder (Elaichi),1 teaspoon Ghee,1/4 cup Mixed dry fruits - finely chopped (I used almonds and cashews),6 Badam (Almond) - coarsely chopped"
matar butter masala recipe,Vegetarian,"2 cups Green peas (Matar),2 Tomatoes - pureed,1 inch Ginger,4 cloves Garlic,1 Green Chilli - slit,12 Cashew nuts,1 tablespoon Coriander Powder (Dhania),3/4 teaspoon Kashmiri Red Chilli Powder,2 teaspoons Kasuri Methi (Dried Fenugreek Leaves),2 Bay leaves (tej patta),1 tablespoon Butter,1/2 teaspoon Sugar - optional,Salt - to taste"
spicy mullangi thogayal recipe (radish chutney),Diabetic Friendly,"1 cup Mooli/ Mullangi (Radish) - grated,2 teaspoons Black Urad Dal (Split),1/4 cup Fresh coconut,20 grams Tamarind - soaked in water,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),Salt - to taste,2 teaspoons Sesame (Gingelly) Oil,1 teaspoon Black Urad Dal (Split),1 teaspoon Mustard seeds,1/4 cup Curry leaves"
mavinakayi chitranna recipe - spiced raw mango tempered rice,Gluten Free,"2 cups Cooked rice - (leftover works fine),1 Mango (Raw) - grated,1/2 teaspoon Black Urad Dal (Split),1 teaspoon Chana dal (Bengal Gram Dal),1/2 teaspoon Mustard seeds,2 Green Chillies - slit,2 sprig Curry leaves,1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon SSP Asafoetida (Hing),Salt - to taste,Coriander (Dhania) Leaves - a small bunch,1 tablespoon Gingelly oil"
पंजाबी मेथी कढ़ी रेसिपी - punjabi methi kadhi recipe,Vegetarian,"1 कप दही,1/4 कप बेसन,1/2 छोटा चम्मच हल्दी पाउडर,1 छोटा चम्मच धनिया पाउडर,1/4 छोटा चम्मच लाल मिर्च पाउडर,नमक - स्वाद अनुसार,100 ग्राम मेथी - धो कर काट ले,1 प्याज - पतला और सीधा काट ले,1/4 छोटा चम्मच जीरा,1/4 राइ,2 सुखी लाल मिर्च,1-1/2 बड़ा चम्मच घी,1-1/2 tablespoon Ghee"
pav bhaji flavored pasta recipe-fusion fusilli pasta,Vegetarian,"2 cup Pasta  Fusilli - cooked as per instructions on packet,1/4 cup Carrot (Gajjar) - chopped,1/2 cup Onion - chopped,1/4 cup Red Yellow and Green Bell Peppers (Capsicum) - chopped,1/2 cup Tomato - chopped,1/2 cup Potato (Aloo) - boiled & mashed,1/4 cup Cauliflower (gobi) - chopped & blanched,1/4 cup Green peas (Matar) - blanched,1/4 teaspoon Chaat Masala Powder,3 tablespoons Butter,2 teaspoons Pav bhaji masala,1/2 teaspoon Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),1 tablespoon Lemon juice,1 tablespoon Red Chilli sauce,Salt - to taste,2 tablespoons Cheese - grated,Coriander (Dhania) Leaves - a few sprigs"
flourless chocolate rum cake recipe,Vegetarian,"180 grams Dark chocolate,1/2 cup Butter (unsalted),1/2 cup Caster Sugar,4 Whole Eggs - at room temperature,1 teaspoon Vanilla Extract,1/2 cup Cocoa Powder - unsweetened,1/3 cup Dark rum"
ragi choco coffee mug cake recipe,Vegetarian,"3 tablespoons Coffee Decoction - (3rd degree),1 tablespoon Milk,2 tablespoons Ragi Flour (Finger Millet/ Nagli),1 tablespoon Whole Wheat Flour,1 tablespoon Cocoa Powder,Ghee - as required,2 tablespoons Palm sugar,Salt - a pinch,1/4 teaspoon Baking soda,1/4 Baking powder,3/4 teaspoon Apple cider vinegar,2 tablespoons Chocolate chips"
mix vegetable risotto recipe,Vegetarian,"1 cup Arborio rice,1 Onion - finely chopped,1 cup Mixed vegetables - chopped and blanched (you can use peas,3 cloves Garlic - minced,1 tablespoon Extra Virgin Olive Oil,1/2 teaspoon Whole Black Peppercorns - crushed,3 cups Vegetable stock - (or as required),2 tablespoon Butter,3 tablespoon Ricotta Cheese,Fresh Herbs - as required for garnish (you can basil,Parmesan cheese - shavings as required"
badam and besan ladoo recipe,Vegetarian,"4 tablespoon Gram flour (besan),2 teaspoon Sooji (Semolina/ Rava),2 tablespoon Badam (Almond),5 tablespoon Sugar,4 tablespoon Ghee,1 teaspoon Cardamom (Elaichi) Pods/Seeds,1 tablespoon Raisins,1 tablespoon Dried rose petals"
apple jalebi recipe,Vegetarian,"2 Apples - (adjust),1 cup All Purpose Flour (Maida),Sunflower Oil - to deep fry,4 Cardamom (Elaichi) Pods/Seeds,2 tablespoons Curd (Dahi / Yogurt),Pistachios - to garnish,Canned Cherries - to garnsh,1 tablespoon All Purpose Flour (Maida),1 teaspoon Cinnamon Powder (Dalchini),300 grams Sugar,1 cup Water,Saffron strands - a few,Rose water - few drops"
jaisalmer kala chana kadhi recipe - rajasthani chickpea curry,High Protein Vegetarian,"1/2 cup Kala Chana (Brown Chickpeas) - soaked overnight in water,1 cup Curd (Dahi / Yogurt),2 tablespoons Gram flour (besan),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1/4 teaspoon Red Chilli powder,1/2 teaspoon Garam masala powder,Salt - to taste,1/4 teaspoon Cumin seeds (Jeera),1 Green Chilli - chopped,1 teaspoons Ghee"
boiled peanut raita recipe,Vegetarian,"1 1/2 cup Curd (Dahi / Yogurt),1/3 cup Water,Salt - to taste,1 teaspoon Black pepper powder,1 teaspoon Cumin powder (Jeera),1 cup Raw Peanuts (Moongphali),2 sprig Mint Leaves (Pudina) - chopped,2 sprig Coriander (Dhania) Leaves - chopped"
dal shorba recipe - indian style lentil soup,Vegetarian,"1/4 cup Yellow Moong Dal (Split),1 Onion,6 cloves Garlic,1/2 teaspoon Dry ginger powder,1/4 teaspoon Turmeric powder (Haldi),1/3 teaspoon Red Chilli powder,1/2 teaspoon Black pepper powder,1 teaspoon Cumin seeds (Jeera),2 teaspoons Coconut Oil,Salt - as required,2 cups Water,1 teaspoon Lemon juice,Coriander (Dhania) Leaves - for garnishing"
sabudana khatti meethi namkeen recipe,Vegetarian,"1/2 cup Sabudana (Tapioca Pearls),1 cup Raw Peanuts (Moongphali),15-20 Cashew nuts,15-20 Raisins,8-10 Curry leaves,Sunflower Oil - to fry,1 teaspoon Rock Salt,1 tablespoon Sugar - powdered,1/2 teaspoon Whole Black Peppercorns - ground"
